id,name,description,price,image_url,category
lp001,Laptop Dell XPS 13,"Laptop mỏng nhẹ, chip Intel Core i7 thế hệ 13, 16GB RAM, 512GB SSD. Màn hình 3.5K OLED cảm ứng. Phù hợp cho doanh nhân.",28990000,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/357992/dell-15-dc15255-r7-7730u-x9ym41-9-638966394821145059-750x500.jpg,Laptop
lp002,MacBook Air M2,"Chip Apple M2 8 nhân, 8GB RAM, 256GB SSD. Siêu mỏng, pin trâu. Màn hình Liquid Retina 13.6 inch.",27490000,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/357993/asus-vivobook-go-e1504fa-r5-7520u-bq1160w-thumb-638966564562227379-600x600.jpg,Laptop
lp003,Asus ROG Zephyrus G14,"Laptop gaming mạnh mẽ với CPU AMD Ryzen 9, card đồ họa NVIDIA GeForce RTX 4060, 16GB RAM. Màn hình 14 inch QHD+ 165Hz.",35990000,https://cdn.tgdd.vn/Products/Images/44/340488/Slider/vi-vn-lenovo-legion-5-15irx10-i7-83ly00a7vn-slider-1.jpg,Laptop
mb001,iPhone 15 Pro Max,"Khung viền Titan, chip A17 Pro. Hệ thống 3 camera chuyên nghiệp. Quay video ProRes. Nút Action Button mới.",32990000,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/340488/lenovo-legion-5-15irx10-i7-83ly00a7vn-1-638880825579712788-180x125.jpg,Điện thoại
mb002,Samsung Galaxy S23 Ultra,Bút S Pen tích hợp. Camera 200MP. Chip Snapdragon 8 Gen 2 for Galaxy. Màn hình Dynamic AMOLED 2X 120Hz.,26990000,https://cdn.tgdd.vn/Products/Images/44/342504/Slider/vi-vn-lenovo-yoga-slim-7-oled-14ill10-ultra-7-258v-83jx0081vn-slider-fix-1.jpg,Điện thoại
mb003,Google Pixel 7 Pro,Chip Google Tensor G2. Trải nghiệm Android thuần khiết. Khả năng chụp ảnh AI xuất sắc với Magic Eraser.,18990000,https://cdn.tgdd.vn/Products/Images/44/328474/Slider/vi-vn-dell-inspiron-15-3530-i7-n5i7301w1-slider-1.jpg,Điện thoại
hp001,Tai nghe Sony WH-1000XM5,"Tai nghe chống ồn chủ động tốt nhất thị trường. Chất âm Hi-Res Audio. Thiết kế mới nhẹ nhàng, đeo thoải mái.",8490000,https://cdn.tgdd.vn/Products/Images/44/340481/Slider/vi-vn-hp-pavilion-x360-14-ek2013tu-core-7-9z2v4pa-slider-1.jpg,Tai nghe
hp002,Apple AirPods Pro 2,Chống ồn chủ động (ANC) hiệu quả. Âm thanh không gian (Spatial Audio). Chip H2. Hỗ trợ sạc MagSafe.,5990000,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/341564/dell-alienware-16-aurora-ac16250-core-7-240h-c7h161w11ii5050-new-2-638940629261295748-750x500.jpg,Tai nghe
hp003,Tai nghe Bluetooth JBL Tune 510BT,Tai nghe không dây on-ear. Âm thanh JBL Pure Bass. Thời lượng pin 40 giờ. Kết nối Bluetooth 5.0.,1290000,https://cdn.tgdd.vn/Products/Images/44/337469/Slider/vi-vn-dell-inspiron-15-3520-i5-71054775-slider-1.jpg,Tai nghe
tv001,Smart Tivi Samsung 4K 55 inch,Tivi QLED 4K. Bộ xử lý Quantum 4K. Hệ điều hành Tizen. Hỗ trợ tìm kiếm bằng giọng nói.,15900000,https://cdn.tgdd.vn/Products/Images/44/322270/Slider/vi-vn-asus-vivobook-x1404za-i5-nk376w-thumbvideo.jpg,Tivi
tv002,Smart Tivi LG OLED evo 4K 65 inch,Tivi OLED 65 inch. Bộ xử lý A9 Gen5 AI 4K. Hỗ trợ Dolby Vision IQ và Dolby Atmos. Tần số quét 120Hz.,34990000,https://cdn.tgdd.vn/Products/Images/44/335170/Slider/vi-vn-asus-x1404va-i5-nk771ws-slider-1.jpg,Tivi
rt001,Router Wifi 6 TP-Link Archer AX55,Router Wi-Fi 6 băng tần kép. Tốc độ AX3000. Vùng phủ sóng rộng với 4 ăng-ten. Hỗ trợ OneMesh.,1499000,https://cdn.tgdd.vn/Products/Images/44/339202/Slider/vi-vn-acer-aspire-lite-14-al14-51p-35qd-i3-nxj84sv001-slider-1.jpg,Thiết bị mạng
sm001,Apple Watch Series 8,"Theo dõi SpO2, đo điện tâm đồ (ECG). Phát hiện va chạm. Màn hình Always-On Retina.",9990000,https://cdn.tgdd.vn/Products/Images/44/334442/Slider/vi-vn-lenovo-ideapad-slim-3-15irh10-i5-83k1000hvn-slider-1.jpg,Thiết bị đeo
sm002,Vòng tay thông minh Xiaomi Mi Band 8,"Theo dõi nhịp tim, giấc ngủ. Hơn 150 chế độ thể thao. Chống nước 5 ATM. Pin 16 ngày.",990000,https://cdn.tgdd.vn/Products/Images/44/335362/Slider/vi-vn-macbook-air-13-inch-m4-16gb-256gb-slider-2.jpg,Thiết bị đeo
